,contents,emoji
0,contents,emoji
1,"happy birthday, tinu! ✨🎉🎂🥂🎈",🎂
2,happy birthday to you 🎂🎉💘💘💘💘💘💘💘💘💘💘💘💘💘💘💘💘💘💘💘💘💘💘💘💘💘💘💘💘💘💘💘💘💘💘💘💘💘💘💘💘💘💘💘💘💘💘💘💘💘💘,🎂
3,many many happy return of the day..!🎂🎉,🎂
4,"🎂🇮🇹💖👼fantastic mimi of ohmygirl happy bihday mimi, orso💖👼🇮🇹🎂",🎂
5,the god himself 🎂,🎂
6,🎂🎉🎁🎈🎈❤❤💜💙💕gorgeous photo.nice photo.❤😊😊😊,🎂
7,hi sunson love you thx for post on my birthday 🎂😍😘💖💋,🎂
8,happy birthday moks! 🎊🎂💙 wish you nothing but true and genuine happiness and the best success life ha to offer!…,🎂
9,happy birthday hitman sharma ji🎂🎂🎂🎂🎂🎂🎂🎂🌹🌹🌹🌹🌹🌹🌹🥀,🎂
10,happy birthday cool blogging lady 😃🎈🎂🍷,🎂
11,travis’ birthday cake 🎂 #endgame,🎂
12,happy 23rd birthday nikki 🎂 i wish you all the best in life! lalo na sa mga bagay bagay alam mo yan. eventually we…,🎂
13,time check 3:43 am.happy birthday to me! 🍩🍩🍩🍩🎂🎂🎂,🎂
14,happy bihday emma 🎂🎂🎂♥️♥️🥳🥳🥳🥳🥳🎉🎊🎉🎁,🎂
15,"will you celebrate your bihday🎉🎁🎈🥂🍹🎂 with me call today &gt; 773-593-4293 0n may 25 , -19 june 22, -19 july 27,-1…",🎂
16,celebration 🎉. tomorrow i'm celebrate my anniversary 😍🎂,🎂
17,ditto! happy birthday month 🎂🦋,🎂
18,happy birthday dearie🎂🎂,🎂
19,happy birthday to me! 🤣😂🎂,🎂
20,happy birthday krungssss🎂🎉,🎂
21,🎂always be a fan of sd,🎂
22,happy birthday na 🎂 #โดมเจ้าลักยิ้ม #พูมมิสเตอร์เทอร์เทิล,🎂
23,alright that's fairhappy birthday 🎂🎉🎈#bbmastopsocial bts,🎂
24,happy birthday to our midfield maestro thlollo moletsane 🎂 🎂 bear on the 21st may.#birthday_boy,🎂
25,can i have some the cake you give away? 🎂😊🍰👍,🎂
26,happy birthday mama lita (may 3) 🎂,🎂
27,alexandra happy birthday 🎂🎊🎉,🎂
28,not a helmet on a one of them ⛑ 🎂 💀,🎂
29,☆¨*★..☆¨*★ｈａｐｐｙ ｂｉｒｔｈｄａｙ bhai vishal tomar ji☆¨*★..☆¨*★🎂🎂,🎂
30,happy birthday to you &amp; have a great doubles’ match! 🎉🎉🎂🎂🎾,🎂
31,happy happy birthday🎂💙,🎂
32,happy birthday you be the birthday gift 🎁 to the 🎂,🎂
33,she’ll be one happy girl tomorrow 🎂⚽️🥅🎁🎉🎈💙xxx,🎂
34,happy may 🌷⚓️🎂☀️🙌🏽,🎂
35,happy birthday sam 🎉🎂 ❤️🧡💛💚💙💜💖 i hope that you have an amaze day and i hope that you be feel better…,🎂
36,happy birthday 🎉🎂🎉,🎂
37,happy 37th 🎉🎂 #kellyclarkson,🎂
38,"yayyy #uglyheart be platinum in the uk!!!🎉 congratz!!! 🎂💃🎊1,000,000🎊💃simone be celebrate up in heaven 💕ugly…",🎂
