,contents,emoji
0,contents,emoji
1,who read your view man ? please read your interview and be happy 😃!,😃
2,yhh lol...😃,😃
3,lol we'll at least those syrup sandwich be cheap that you like to make😁😀😃🤩,😃
4,i love a little bite 😃😃😃,😃
5,eyy 🙃 i'm sorry about my panic disorder back then 😃,😃
6,i want to see a faster goal then the one i saw last night 😃,😃
7,silver line 😀😃😃,😃
8,"i once make a layout for jennie unnie. do you want to use it, unnie? 😃",😃
9,ready when you be 😃awsome-incarnate,😃
10,what time be you on stage today? 😃,😃
11,"another fun episode of #testingtuesday! 😃this time jan and i test three #fortnite companion skills, among the ~80…",😃
12,alll smiles..😃😃😃😃,😃
13,"back up to tomorrow, the begin of the end of maternity leave 💕👶🏼😔 👩🏼‍💻💰😃 #mixedemotions #phasedreturn #choosepsychiatry",😃
14,happy birthday cool blogging lady 😃🎈🎂🍷,😃
15,our royal star be get brighter for the #weekend...come for the best #beer and #pizza in #oldstreet 🍻🍕😃,😃
16,the grade 4 check out our robot 🤖😃😎 #steamchallenge,😃
17,if you can still feel it... it need to be push up a bite further till it's comfy to walk around in😃,😃
18,"hello, my friend! 😃😏😅#edsheeranlstheboyofarmy",😃
19,"it wa detroit and not the packer or bear so....haha no problem, thank for be so nice to me since i join 😃",😃
20,😃😃 ab to roz hi sunna h,😃
21,well that's a shame! 😃 buy lot of good stuff?,😃
22,omg gurl if you're plan to give them away then yes si 😭 but can you dm me how it look like? 😃 i…,😃
23,eat it with me i love bean and there be love in share 😃😃,😃
24,new teaser for season 9 please😃,😃
25,good luck to everyone at sectional today ❤️❤️😃‼️ #sectionalmeet #roadtostate,😃
26,ultimate 😃😃. but why so?🤔🤔#it #people #chair,😃
27,have a cross on senior semester girl be like : either tell her dd and forget or just stay away and continue you crossness..😁😂🤣😃😄,😃
28,"you should be able to now that we be follow you. 😃what do jew and christian have in common? love of neighbor, pope francis say",😃
29,the felon say what?oh my goodness!!! 😱😲😃😆😆😆😍😍,😃
30,great news! i’ve be hear simillar thing all around. look forward to it! what ever it be 😃,😃
31,nice video by of latest #pagalpanti shoot in beautiful castle. look lovely 😃😃❤️❤️,😃
