,contents,emoji
0,contents,emoji
1,okay this be so good 😁*photo not mine #gameofthrones,😁
2,love that dawn.😁 #thatgirlcan keep smile 🙂🚒🏳️‍🌈🙂🚒🏳️‍🌈🙂🚒🏳️‍🌈🙂,😁
3,what hugo said👇😁,😁
4,i think she look so cute in that outfit. 😁,😁
5,"i can’t wait to sit at the bar at tgifridays with my man, get drink and go home 😁",😁
6,"congrats idolo, sorry for doubt you 😁",😁
7,😁😁😁 you be hit the guy below the belt! 😁😂😁😂,😁
8,yo there’s literally not 1 person besides me in this theatre 😁,😁
9,arsewipes try (and failed) to scam 14k in cash from my elderly parents. they should've know better. 😁 irish rats.,😁
10,a month and a half since i’ve smoke 😁,😁
11,"i'm mad at me too 😁 and also she's a very lovely friend, it's just we have some issue with some c…",😁
12,hate in yo blood... 🤷‍♂️😁,😁
13,you look great 😁👍,😁
14,...and now there's star citizen. 😐fun fact: duke nukem forever eventually shipped. 🤣😁,😁
15,in many case you get to bleach it first 😁,😁
16,baba... they don't know mehn.make dem come ask me jare.u're a very easy-going sombori.😁😁😁😁,😁
17,"ah😲john, “if wish be horses, beggar would ride...”😁 then again🎶🎶i can dream about it 🎶🎶😴😴😴🌹🌹🌹",😁
18,lol we'll at least those syrup sandwich be cheap that you like to make😁😀😃🤩,😁
19,when your team score 4 in the first half 😁 #agleague,😁
20,"yes 😁she can turn a wrench, cook, and be gorgeous too. but she date a liberal in skinny jean 😒🤷",😁
21,the blue 😁💙😁,😁
22,yep. i think i get it from our price. crack little album. find it mix in with a load of old cds. 😁 awesome!,😁
23,practice lang idolize 😁,😁
24,please stream so i can take credit from asmaa for make it reach 1m 😁...,😁
25,🤚😁 not a single match even a vedio clip,😁
26,italian priority be spot on 😁 #breakfastclub #breakfast #lunchbreak #lunch #brunch #dinnerideas #dinnertime…,😁
27,i'm with you no worry 😁,😁
28,"how can we the people help "" oblirate"" the rest? 😁🤔😁🙏🙏🏾🙏🙏🏾",😁
29,you be my girl😊😁😘,😁
30,yas! excite to watch!! 😁😁,😁
31,"😁 yup they're mine. thank you i'll tell her.always thinkin sumn up makin sumn out of nothin much, everyday it’s something new damn just like wtf",😁
32,hi if you wanna give me a m&amp;g for that’d be great 😁😂,😁
33,"i'd say hell no, but i can direct him to the nearest jail cell.how clever be this? 😁",😁
34,the moment we win 😁😁😁 #vwfc 🔵⚪️,😁
35,the gulf in quality between the top 2 and the other 4 be massive 😁,😁
36,that'd make you my ideal collaborator! 😁 #dreamteam,😁
37,name a bigger fraud than i'll wait😁,😁
38,"change of plans. sweet charity to open, star a charity in about a month or so. 😁",😁
39,no network there naa. he can't even see what u be tweeting. 😁,😁
40,"niall look amazing, i also love that ring on his finger 😁",😁
41,"wait but make me ur 3,000 follower 😁",😁
42,ohhh my god..!! didim😁😁😂😂🤣,😁
43,who stay up till three in the morning read manhua and cry like a baby at the end 😁👈,😁
44,space be axis free so be ist 😁,😁
45,"watch this nba replay.. awkwardly, i miss you kawhi.. 🏀😁",😁
