,contents,emoji
0,contents,emoji
1,"alright, keep your hair on ❄",❄
2,basically stop bieng an icebox. cold ❄,❄
3,this wa so epic!my fav be season 5! ❤️❄️ #theflash #killerfrost,❄
4,#ehden cover with snow in the midst of spring ❄️by #wearelebanon,❄
5,"new song out now! check it out on bandcamp below and on spotify, soundcloud, itunes, apple music, etc! ☺️😍🐺🐲❄️💥…",❄
6,#lionwitchwardrobe box office open in 5 days. 🦁priority book for member now ❄️…,❄
7,"because your show be unique, and so be your listeners. ❄️",❄
8,eh it’s marginalno snow here in east london ❌❄️,❄
9,"still i'm not put a single atome of my be in this country while poutine be alive, i love kpop but i have valuessnowing!!it's april 29th!❄️",❄
10,dame ❄️ ❄️😯,❄
11,my theme uwu ❄,❄
12,#metgala2019walks the 2019 meet gala pink carpet a cinderella❄️💛 she look so magical!!#metgala…,❄
13,i don’t think anyone wa eat with it 💨❄️☃️,❄
14,stop callin my phone u waistin my time ❄️,❄
15,you think you know thing now? ❄if you have see the final episode share your spoiler without context use gifs #gameofthrones #jonsnow,❄
16,best we’ve see this year❄️,❄
17,"brrrr it’s icy ❄️ winston-salem, north carolina",❄
18,$lydiabernard | he’s full of candy &amp; break 🍭🍬🍭❄️🍭,❄
19,ice cash money ❄️❄️❄️,❄
20,soggy &amp; cold. at least it's not ❄#cilwx #ilwx #weather #illinois #midwest #dog,❄
21,it f*%ken cold out here❄️❄️❄️❄️❄️,❄
22,some personal news: i have take an epic nap in preparation for tonight’s battle of winterfell ❄️ #gamefthrones,❄
23,what an epic end to a series #gameofthrones #thefinalepisode #gameofthonesfinale ❄🐺🔥,❄
24,👁🔱👁ice blue❄❄❄🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸,❄
25,it’s know to snow in the summer 😏❄️,❄
26,jimmy butler and the b stand for bucket ❄️,❄
27,thread 🌻🌻🌻🌻dari ❄️❄️❄️,❄
28,respect level: -34 🥶❄️❄️❄️,❄
29,suge by dababy ❄️,❄
30,so good! ready for iceland! #vitaminwatersweepstakes❄️,❄
31,❄ snow ale bjorli 3 to 11cm fresh snow on friday. temp. -1/2°c sleet webcam,❄
32,i love you more 🥺💕❄️✨🥰💜😘💜💕,❄
33,i sense bad decision this winter ❄️ 🙆🏿‍♂️,❄
